pack,status,scope_file
G1,PASS,grade_packs/G1/OUT_OF_SCOPE_RULES.md
G2,PASS,grade_packs/G2/OUT_OF_SCOPE_RULES.md
G3,PASS,grade_packs/G3/OUT_OF_SCOPE_RULES.md
G4,PASS,grade_packs/G4/OUT_OF_SCOPE_RULES.md
G5,PASS,grade_packs/G5/OUT_OF_SCOPE_RULES.md
G6,PASS,grade_packs/G6/OUT_OF_SCOPE_RULES.md
G7,PASS,grade_packs/G7/OUT_OF_SCOPE_RULES.md
G8,PASS,grade_packs/G8/OUT_OF_SCOPE_RULES.md
G9,PASS,grade_packs/G9/OUT_OF_SCOPE_RULES.md
G10_GENERAL,PASS,grade_packs/G10_GENERAL/OUT_OF_SCOPE_RULES.md
G11_A,PASS,grade_packs/G11_A/OUT_OF_SCOPE_RULES.md
G11_B,PASS,grade_packs/G11_B/OUT_OF_SCOPE_RULES.md
G12_A,PASS,grade_packs/G12_A/OUT_OF_SCOPE_RULES.md
G12_B,PASS,grade_packs/G12_B/OUT_OF_SCOPE_RULES.md
TECH_A_G10,PASS,high_school_tracks/TECHNICAL/TECH_A/G10/OUT_OF_SCOPE_RULES.md
TECH_B_G10,PASS,high_school_tracks/TECHNICAL/TECH_B/G10/OUT_OF_SCOPE_RULES.md
TECH_C_G10,PASS,high_school_tracks/TECHNICAL/TECH_C/G10/OUT_OF_SCOPE_RULES.md
