transition,topic,source_skill,target_skill,status
G10→G11A,三角比→弧度/三角函數,G10G-G-TRIG-01,G11A-N-RAD-01,PASS
G10→G11A,指對數→指數對數函數,G10G-N-LOG-01,G11A-A-LOGLAW-01,PASS
G10→G11A,解析幾何→平面向量,G10G-F-SECTION-01,G11A-G-VEC-01,PASS
G10→G11A,排列機率→條件機率,G10G-D-PROB-COMP-01,G11A-D-COND-01,PASS
G10→G11B,三角比→弧度/週期模型,G10G-G-TRIG-01,G11B-N-RAD-01,PASS
G10→G11B,指數→成長模型,G10G-N-EXP-REAL-01,G11B-F-EXPGROWTH-01,PASS
G10→G11B,向量先備→平面向量,G10G-F-SECTION-01,G11B-G-VEC-01,PASS
G10→G11B,機率→條件機率,G10G-D-PROB-COMP-01,G11B-D-COND-01,PASS
G11A→G12甲,成長模型→e與極限,G11A-F-GROWTH-01,G12A-N-E-01,PASS
G11A→G12甲,函數→函數運算,G11A-F-EXPGRAPH-01,G12A-F-FUNCOPS-01,PASS
G11A→G12甲,機率→隨機變數,G11A-D-BAYES-01,G12A-D-RV-01,PASS
G11B→G12乙,成長模型→無窮級數,G11B-F-EXPGROWTH-01,G12B-N-INFGEOSER-01,PASS
G11B→G12乙,應用函數→函數運算,G11B-F-PERIODMODEL-01,G12B-F-FUNCOPS-01,PASS
G11B→G12乙,機率→隨機變數,G11B-D-BAYES-01,G12B-D-RV-01,PASS
