owner_skill,field,legacy_id,canonical_id,status
G05-N-DEC-PLACE-01,prerequisite,G04-N-PLACE,G04-N-PLACE-01,resolved
G05-N-DEC-ROUND-01,next_skill,G06-N-EST,G06-N-DEC-DIV-03,resolved
G05-N-FACTOR-01,prerequisite,G04-N-MULDIV,G04-N-MULDIV-APP-01,resolved
G05-N-GCF-01,next_skill,G06-N-PRIME,G06-N-PRIME-01,resolved
G05-N-MULTIPLE-01,prerequisite,G04-N-MULDIV,G04-N-MULDIV-APP-01,resolved
G05-N-LCM-01,next_skill,G06-N-PRIME,G06-N-PRIME-01,resolved
G05-N-FRAC-EQV-01,prerequisite,G04-N-FRAC,G04-N-FRAC-EQV-01,resolved
G05-N-FRAC-DIVREP-01,prerequisite,G04-N-DIV,G04-N-DIV4X2-01,resolved
G05-N-FRAC-MUL-02,next_skill,G06-N-FRAC-DIV,G06-N-FRAC-DIV-01,resolved
G05-N-FRAC-DIVINT-01,next_skill,G06-N-FRAC-DIV,G06-N-FRAC-DIV-01,resolved
G05-N-DEC-MUL-01,prerequisite,G04-N-DEC,G04-N-DEC2-01,resolved
G05-N-DEC-MUL-02,next_skill,G06-N-DEC-DIV,G06-N-DEC-DIV-01,resolved
G05-N-DEC-DIV-01,prerequisite,G04-N-DIV,G04-N-DIV4X2-01,resolved
G05-N-DEC-DIV-02,next_skill,G06-N-DEC-DIV,G06-N-DEC-DIV-01,resolved
G05-N-PERCENT-01,next_skill,G06-R-RATIO,G06-N-RATIO-01,resolved
G05-N-TIME-01,prerequisite,G04-N-TIME,G04-N-TIMEAPP-01,resolved
G05-N-TIME-02,next_skill,G06-N-SPEED,G06-N-SPEED-01,resolved
G05-S-POLY-01,prerequisite,G04-S-TRI,G04-S-TRI-CLASS-01,resolved
G05-S-ANGLE-01,next_skill,G06-S-CIRCLE,G06-S-ARC-01,resolved
G05-S-SECTOR-01,next_skill,G06-S-CIRCLE,G06-S-ARC-01,resolved
G05-S-SYM-01,prerequisite,G04-S-SYM,G04-S-CONGRUENT-MAP-01,resolved
G05-S-SYM-01,next_skill,G07-G-TRANS,G07-S-SYM-PROP-01,resolved
G05-S-AREA-PARA-01,prerequisite,G04-S-AREA,G04-S-RECTAREA-01,resolved
G05-S-AREA-TRAP-01,next_skill,G06-S-CIRCLE,G06-S-ARC-01,resolved
G05-N-AREAUNIT-01,next_skill,G06-N-SCALE,G06-S-MAPSCALE-01,resolved
G05-N-MASSUNIT-01,prerequisite,G04-N-MASS,G03-N-KG-CONV-01,resolved
G05-N-MASSUNIT-01,next_skill,G06-N-RATE,G06-N-RATIO-02,resolved
G05-S-SOLID-01,prerequisite,G04-S-SOLID,G04-N-CM3-COUNT-01,resolved
G05-S-FACE-01,next_skill,G06-S-PRISM,G06-S-PRISM-VOL-01,resolved
G05-S-VOLUME-01,prerequisite,G04-S-CUBE,G04-N-CM3-COUNT-01,resolved
G05-S-SURFACE-01,next_skill,G06-S-PRISM,G06-S-PRISM-VOL-01,resolved
G05-N-CAPACITY-01,next_skill,G06-N-VOLUME,G06-S-PRISM-VOL-01,resolved
G05-N-DISPLACE-01,next_skill,G07-S-VOLUME,G06-S-PRISM-VOL-01,resolved
G05-R-MULTISTEP-01,prerequisite,G04-R-TWOSTEP,G04-R-BRACKET-01,resolved
G05-R-LAW-01,next_skill,G07-A-ALG,G07-A-SYMBOL-01,resolved
G05-R-SYMBOL-01,next_skill,G07-A-EQ,G07-A-LINEQ-MEAN-01,resolved
G05-D-LINE-01,prerequisite,G04-D-BAR,G04-D-BAR-01,resolved
G05-D-LINE-02,next_skill,G06-D-PIE,G06-D-PIE-01,resolved
