transition,topic,source_skill,target_skill,status
G7→G8,代數式→多項式,G07-A-COMBINE-01,G08-A-POLY-ADD-01,PASS
G7→G8,指數→平方根,G07-N-POWER-01,G08-N-SQRT-MEAN-01,PASS
G7→G8,一元一次→一元二次,G07-A-SOLVE-01,G08-A-QUAD-MEAN-01,PASS
G7→G8,坐標/直線→一次函數,G07-A-LINEGRAPH-01,G08-F-LINEAR-01,PASS
G7→G8,幾何基礎→三角形全等,G07-S-NOTATION-01,G08-S-TRI-SSS-01,PASS
G8→G9,全等/平行→相似,G08-S-CONGRUENT-01,G09-S-SIM-POLY-01,PASS
G8→G9,畢氏→特殊直角三角形,G08-S-PYTH-01,G09-S-RT-306090-01,PASS
G8→G9,一次函數→二次函數,G08-F-LINEAR-01,G09-F-QUAD-MEAN-01,PASS
G8→G9,尺規/推理→正式證明,G08-S-PROOF-BASIC-01,G09-S-PROOF-MEAN-01,PASS
G8→G9,統計分布→盒狀圖,G08-D-CUMFREQ-01,G09-D-QUARTILE-01,PASS
