grade,track,skill_id,official_code,skill_name
G1,GENERAL_OR_PREHIGH,G01-N-COUNT-01,N-1-1,1到10聽讀寫做
G1,GENERAL_OR_PREHIGH,G01-N-ZERO-01,N-1-1,0的意義
G1,GENERAL_OR_PREHIGH,G01-N-ORDER-01,N-1-1,10以內數序
G1,GENERAL_OR_PREHIGH,G01-N-ORDINAL-01,N-1-1,基數與序數
G1,GENERAL_OR_PREHIGH,G01-N-CMP-01,N-1-1,10以內多少比較
G1,GENERAL_OR_PREHIGH,G01-N-COMP-01,N-1-3,10以內數的合成
G1,GENERAL_OR_PREHIGH,G01-N-20-01,N-1-1,11到20的數
G1,GENERAL_OR_PREHIGH,G01-N-30-01,N-1-1,21到30的數
G1,GENERAL_OR_PREHIGH,G01-N-GROUPCOUNT-01,N-1-1,2、5、10個一數
G1,GENERAL_OR_PREHIGH,G01-N-100-01,N-1-1,100以內聽讀寫做
G1,GENERAL_OR_PREHIGH,G01-N-PLACE-01,N-1-1,個位與十位
G1,GENERAL_OR_PREHIGH,G01-N-100ORDER-01,N-1-1,100以內數序比較
G1,GENERAL_OR_PREHIGH,G01-N-ADD-MEAN-01,N-1-2 / R-1-1,添加型加法
G1,GENERAL_OR_PREHIGH,G01-N-ADD-JOIN-01,N-1-2 / R-1-1,併加型加法
G1,GENERAL_OR_PREHIGH,G01-N-ADD0-01,N-1-2,含0的加法
G1,GENERAL_OR_PREHIGH,G01-N-ADD-FLUENCY-01,N-1-3,10以內加法熟練
G1,GENERAL_OR_PREHIGH,G01-R-COMMUTE-01,R-1-2,交換相加順序
G1,GENERAL_OR_PREHIGH,G01-N-SUB-TAKE-01,N-1-2 / R-1-1,拿走型減法
G1,GENERAL_OR_PREHIGH,G01-N-SUB-PART-01,N-1-2 / R-1-1,分解型減法
G1,GENERAL_OR_PREHIGH,G01-N-SUB-CMP-01,N-1-2,比較型減法
G1,GENERAL_OR_PREHIGH,G01-N-SUB-FLUENCY-01,N-1-3,10以內減法熟練
G1,GENERAL_OR_PREHIGH,G01-N-18ADD-01,N-1-3,跨10加法
G1,GENERAL_OR_PREHIGH,G01-N-18SUB-01,N-1-3,跨10減法
G1,GENERAL_OR_PREHIGH,G01-N-2DIGADD-01,N-1-2,兩位數加一位數／整十數
G1,GENERAL_OR_PREHIGH,G01-N-2DIGSUB-01,N-1-2,兩位數減一位數／整十數
G1,GENERAL_OR_PREHIGH,G01-N-WORD-01,N-1-2 / R-1-1,選擇加法或減法
G1,GENERAL_OR_PREHIGH,G01-R-EQUAL-01,R-1-1,等號與算式讀法
G1,GENERAL_OR_PREHIGH,G01-N-MONEY-01,N-1-4,1、5、10、50、100元
G1,GENERAL_OR_PREHIGH,G01-N-MONEY-02,N-1-4,同值不同組合
G1,GENERAL_OR_PREHIGH,G01-N-MONEY-03,N-1-4 / N-1-2,簡單付錢與找零
G1,GENERAL_OR_PREHIGH,G01-N-LEN-01,N-1-5 / S-1-1,直接比較
