grade,skill_id,official_code,main_unit,subunit,skill_name,difficulty
G1,G01-N-COUNT-01,N-1-1,數概念,10以內的數,1到10聽讀寫做,1
G1,G01-N-ZERO-01,N-1-1,數概念,10以內的數,0的意義,1
G1,G01-N-ORDER-01,N-1-1,數概念,數序與序數,10以內數序,1
G1,G01-N-ORDINAL-01,N-1-1,數概念,數序與序數,基數與序數,2
G1,G01-N-CMP-01,N-1-1,數概念,數量比較,10以內多少比較,1
G1,G01-N-COMP-01,N-1-3,數概念,分與合,10以內數的合成,1
G1,G01-N-20-01,N-1-1,數概念,30以內的數,11到20的數,2
G1,G01-N-30-01,N-1-1,數概念,30以內的數,21到30的數,2
G1,G01-N-GROUPCOUNT-01,N-1-1,數概念,30以內的數,2、5、10個一數,2
G1,G01-N-100-01,N-1-1,數概念,100以內的數,100以內聽讀寫做,2
G1,G01-N-PLACE-01,N-1-1,數概念,100以內的數,個位與十位,2
G1,G01-N-100ORDER-01,N-1-1,數概念,100以內的數,100以內數序比較,2
G1,G01-N-ADD-MEAN-01,N-1-2 / R-1-1,加法,10以內加法,添加型加法,1
G1,G01-N-ADD-JOIN-01,N-1-2 / R-1-1,加法,10以內加法,併加型加法,1
G1,G01-N-ADD0-01,N-1-2,加法,10以內加法,含0的加法,1
G1,G01-N-ADD-FLUENCY-01,N-1-3,加法,基本加法,10以內加法熟練,2
G1,G01-R-COMMUTE-01,R-1-2,加法,加法關係,交換相加順序,2
G1,G01-N-SUB-TAKE-01,N-1-2 / R-1-1,減法,10以內減法,拿走型減法,1
G1,G01-N-SUB-PART-01,N-1-2 / R-1-1,減法,10以內減法,分解型減法,2
G1,G01-N-SUB-CMP-01,N-1-2,減法,10以內減法,比較型減法,2
G1,G01-N-SUB-FLUENCY-01,N-1-3,減法,基本減法,10以內減法熟練,2
G1,G01-N-18ADD-01,N-1-3,加法,20以內加法,跨10加法,3
G1,G01-N-18SUB-01,N-1-3,減法,20以內減法,跨10減法,3
G1,G01-N-2DIGADD-01,N-1-2,加減運算,兩位數加減,兩位數加一位數／整十數,2
G1,G01-N-2DIGSUB-01,N-1-2,加減運算,兩位數加減,兩位數減一位數／整十數,2
G1,G01-N-WORD-01,N-1-2 / R-1-1,加減應用,生活加減,選擇加法或減法,3
G1,G01-R-EQUAL-01,R-1-1,算式與符號,等號,等號與算式讀法,2
G1,G01-N-MONEY-01,N-1-4,錢幣,認識錢幣,1、5、10、50、100元,1
G1,G01-N-MONEY-02,N-1-4,錢幣,錢幣化聚,同值不同組合,2
G1,G01-N-MONEY-03,N-1-4 / N-1-2,錢幣,生活購物,簡單付錢與找零,3
G1,G01-N-LEN-01,N-1-5 / S-1-1,長度,長短比較,直接比較,1
G1,G01-N-LEN-02,N-1-5 / S-1-1,長度,長短比較,間接比較,2
G1,G01-N-LEN-03,N-1-5 / S-1-1,長度,非標準單位,個別單位測量,2
G1,G01-N-TIME-01,N-1-6,時間,日常時間,事件先後與時間長短,1
G1,G01-N-CLOCK-01,N-1-6,時間,鐘面,整點,1
G1,G01-N-CLOCK-02,N-1-6,時間,鐘面,半點,2
G1,G01-N-DATE-01,N-1-6,時間,日期,月日星期,2
G1,G01-S-SOLID-01,S-1-2,形體,立體形體,平面與曲面特徵,1
G1,G01-S-SHAPE-01,S-1-2,形體,平面圖形,常見平面形狀辨識,1
G1,G01-S-TRACE-01,S-1-2,形體,形體操作,描繪與複製,2
G1,G01-S-PUZZLE-01,S-1-2,形體,形體操作,拼貼與堆疊,2
G1,G01-S-MOVE-01,S-1-2,形體,形體操作,平移旋轉翻轉初步,2
G1,G01-D-CLASS-01,D-1-1,資料,分類,依單一特徵分類,1
G1,G01-D-CLASS-02,D-1-1,資料,分類,多種分類方式,2
G1,G01-D-RECORD-01,D-1-1,資料,分類與紀錄,簡單記錄與報讀,2
G2,G02-N-200-01,N-2-1,數概念,200/300以內的數,讀寫與做數,2
G2,G02-N-1000-01,N-2-1,數概念,1000以內的數,讀寫與做數,2
G2,G02-N-PLACE-01,N-2-1,數概念,位值,百位十位個位,2
G2,G02-N-ORDER-01,N-2-1,數概念,數序與比較,前後數與大小,2
G2,G02-N-COIN-01,N-2-5,錢幣,大面額錢幣,100/500/1000元,2
G2,G02-N-COIN-APP-01,N-2-5,錢幣,購物應用,付款與找錢,3
G2,G02-N-ADD-VERT-01,N-2-2,加減運算,直式加法,不進位加法,2
G2,G02-N-ADD-CARRY1-01,N-2-2,加減運算,直式加法,一次進位,2
G2,G02-N-ADD-CARRY2-01,N-2-2,加減運算,直式加法,二次進位,3
G2,G02-N-SUB-VERT-01,N-2-2,加減運算,直式減法,不退位減法,2
G2,G02-N-SUB-BORROW-01,N-2-2,加減運算,直式減法,一次退位,3
G2,G02-N-ZERO-OPS-01,N-2-2,加減運算,特殊直式,數字含0的加減,3
G2,G02-R-INVERSE-01,R-2-4,加減關係,加減互逆,用加法驗減法,2
G2,G02-N-UNK-ADDEND-01,N-2-3 / R-2-4,加減應用,未知量,未知加數/被加數,3
G2,G02-N-UNK-SUB-01,N-2-3 / R-2-4,加減應用,未知量,未知減數/被減數,3
G2,G02-N-EST-01,N-2-4,估算,加減估算,簡單合理估算,2
G2,G02-N-TWOSTEP-ADD-01,N-2-8,兩步驟,連加,兩步驟加法,3
G2,G02-N-TWOSTEP-SUB-01,N-2-8,兩步驟,連減,兩步驟減法,3
G2,G02-N-TWOSTEP-MIX-01,N-2-8,兩步驟,加減混合,先加後減/先減後加,3
G2,G02-R-ADDORDER-01,R-2-2,運算規律,三數相加,改變相加順序,3
G2,G02-N-MUL-MEAN-01,N-2-6,乘法,乘法意義,幾個一樣多,2
G2,G02-N-MUL-2-01,N-2-6,乘法,乘法表,2和5的乘法,2
G2,G02-N-MUL-4-8-01,N-2-6,乘法,乘法表,4和8的乘法,2
G2,G02-N-MUL-3-6-01,N-2-6,乘法,乘法表,3和6的乘法,2
G2,G02-N-MUL-7-9-01,N-2-6,乘法,乘法表,7和9的乘法,3
G2,G02-N-MUL-0-1-10-01,N-2-6 / N-2-7,乘法,乘法表,0、1、10的乘法,2
