skill_id,prerequisites,graph_status
G01-N-COUNT-01,,entry_skill
G01-N-ZERO-01,G01-N-COUNT-01,ready
G01-N-ORDER-01,G01-N-COUNT-01,ready
G01-N-ORDINAL-01,G01-N-ORDER-01,ready
G01-N-CMP-01,G01-N-COUNT-01,ready
G01-N-COMP-01,G01-N-COUNT-01,ready
G01-N-20-01,G01-N-COUNT-01;G01-N-COMP-01,ready
G01-N-30-01,G01-N-20-01,ready
G01-N-GROUPCOUNT-01,,entry_skill
G01-N-100-01,G01-N-30-01,ready
G01-N-PLACE-01,G01-N-100-01,ready
G01-N-100ORDER-01,G01-N-PLACE-01,ready
G01-N-ADD-MEAN-01,G01-N-COMP-01,ready
G01-N-ADD-JOIN-01,G01-N-COMP-01,ready
G01-N-ADD0-01,,entry_skill
G01-N-ADD-FLUENCY-01,G01-N-ADD-MEAN-01;G01-N-ADD-JOIN-01,ready
G01-R-COMMUTE-01,G01-N-ADD-JOIN-01,ready
G01-N-SUB-TAKE-01,G01-N-COMP-01,ready
G01-N-SUB-PART-01,G01-N-COMP-01,ready
G01-N-SUB-CMP-01,G01-N-CMP-01,ready
G01-N-SUB-FLUENCY-01,G01-N-ADD-FLUENCY-01;G01-N-SUB-TAKE-01,ready
G01-N-18ADD-01,G01-N-ADD-FLUENCY-01;G01-N-COMP-01,ready
G01-N-18SUB-01,G01-N-SUB-FLUENCY-01;G01-N-18ADD-01,ready
G01-N-2DIGADD-01,G01-N-PLACE-01;G01-N-ADD-FLUENCY-01,ready
G01-N-2DIGSUB-01,G01-N-PLACE-01;G01-N-SUB-FLUENCY-01,ready
G01-N-WORD-01,G01-N-ADD-MEAN-01;G01-N-SUB-TAKE-01;G01-R-EQUAL-01,ready
G01-R-EQUAL-01,G01-N-ADD-MEAN-01;G01-N-SUB-TAKE-01,ready
G01-N-MONEY-01,,entry_skill
G01-N-MONEY-02,G01-N-MONEY-01;G01-N-COUNT-01,ready
G01-N-MONEY-03,G01-N-MONEY-02;G01-N-2DIGADD-01;G01-N-2DIGSUB-01,ready
G01-N-LEN-01,,entry_skill
G01-N-LEN-02,G01-N-LEN-01,ready
G01-N-LEN-03,G01-N-LEN-02,ready
G01-N-TIME-01,,entry_skill
G01-N-CLOCK-01,,entry_skill
G01-N-CLOCK-02,G01-N-CLOCK-01,ready
G01-N-DATE-01,,entry_skill
G01-S-SOLID-01,,entry_skill
G01-S-SHAPE-01,,entry_skill
G01-S-TRACE-01,G01-S-SHAPE-01,ready
G01-S-PUZZLE-01,G01-S-SHAPE-01;G01-S-SOLID-01,ready
G01-S-MOVE-01,G01-S-TRACE-01,ready
G01-D-CLASS-01,,entry_skill
G01-D-CLASS-02,G01-D-CLASS-01,ready
G01-D-RECORD-01,G01-D-CLASS-01,ready
