skill_id,prerequisites,graph_status,missing_refs
G10G-N-REAL-01,G08-N-SQRT-MEAN-01;G09-D-PROB-MEAN-01,ready,
G10G-N-REAL-02,G08-N-SQRT-APPROX-01,ready,
G10G-N-SCI-01,G07-N-SCI-01;G07-N-SCI-SMALL-01,ready,
G10G-N-SIGFIG-01,,ready,
G10G-N-ERROR-01,,ready,
G10G-N-ABS-EQ-01,G07-N-ABS-01;G08-A-QUAD-SQRT-01,ready,
G10G-N-ABS-INEQ-01,G07-A-INEQ-SOLVE-01;G07-N-ABS-01,ready,
G10G-N-INTERVAL-01,G07-A-INEQ-LINE-01,ready,
G10G-N-ERROR-RANGE-01,,ready,
G10G-N-EXP-FRAC-01,G07-N-INDEX-POW-01;G08-N-SQRT-MEAN-01,ready,
G10G-N-EXP-REAL-01,,ready,
G10G-N-GEOMEAN-01,G08-N-SQRT-MEAN-01;G07-N-RATIO-01,ready,
G10G-N-AMGM-01,,ready,
G10G-N-LOG-01,G07-N-POWER-01;G07-N-SCI-01,ready,
G10G-N-LOG-SCI-01,,ready,
G10G-N-LOG-CALC-01,,ready,
G10G-A-CUBICFORM-01,G08-A-MULFORM-01;G08-A-POLY-MUL-01,ready,
G10G-A-CUBICFORM-02,,ready,
G10G-A-RADICAL-01,G08-N-RAD-MIX-01,ready,
G10G-A-RATIONAL-01,G08-A-POLY-DIV-01;G07-N-DIVINT-01,ready,
G10G-A-REMAINDER-01,G08-A-POLY-DIV-01,ready,
G10G-A-FACTOR-THM-01,G08-A-FACTOR-CHOICE-01;G10G-A-REMAINDER-01,ready,
G10G-A-SYNTH-01,,ready,
G10G-A-XA-EXPAND-01,,ready,
G10G-F-FNOT-01,G08-F-FUNC-MEAN-01;G09-F-QUAD-MEAN-01,ready,
G10G-F-LINEAR-01,,ready,
G10G-F-SECTION-01,,ready,
G10G-F-QUAD-COMPLETE-01,G08-A-QUAD-COMPLETE-01;G09-F-VERTEX-01,ready,
G10G-F-QUAD-TRANS-01,G09-F-GRAPH-TRANS-01,ready,
G10G-F-QUAD-CLOSED-01,,ready,
G10G-F-CUBIC-SYM-01,G08-A-POLY-DEG-01;G10G-F-FNOT-01,ready,
G10G-F-CUBIC-GLOBAL-01,,ready,
G10G-F-CUBIC-LOCAL-01,,ready,
G10G-F-POLY-INEQ-01,G07-A-INEQ-SOLVE-01;G08-A-FACTOR-CHOICE-01,ready,
G10G-F-POLY-INEQ-02,,ready,
G10G-F-GRAPH-INEQ-01,,ready,
G10G-G-SYM-01,G07-G-PLOT-01,ready,
G10G-G-SLOPE-01,G08-F-GRAPH-READ-01;G07-G-DIST-01,ready,
G10G-G-LINE-POINTSLOPE-01,G07-A-LINEGRAPH-01;G10G-G-SLOPE-01,ready,
G10G-G-LINE-TWOPOINT-01,,ready,
G10G-G-LINE-PARPERP-01,G08-S-PARALLEL-01;G07-S-PERP-01,ready,
G10G-G-POINTLINE-DIST-01,G08-G-DIST-01;G07-S-POINTLINE-01,ready,
G10G-G-PARALLEL-DIST-01,,ready,
G10G-G-LINEAR-REGION-01,,ready,
G10G-G-CIRCLE-EQ-01,G09-S-CIRCUMCENTER-01;G08-G-DIST-01,ready,
G10G-G-CIRCLE-CONV-01,,ready,
G10G-G-LINECIRCLE-01,G09-S-LINECIRCLE-01;G10G-G-POINTLINE-DIST-01,ready,
G10G-G-TANGENT-01,,ready,
G10G-G-ANGLE-01,G09-S-TRIG-RATIO-01,ready,
G10G-G-POLAR-01,,ready,
G10G-G-TRIG-01,G09-S-TRIG-RATIO-01;G09-S-RT-306090-01,ready,
G10G-G-TRIG-SPECIAL-01,,ready,
G10G-G-TRIG-SIGN-01,,ready,
G10G-G-SINE-LAW-01,G09-S-SIM-APP-01;G09-S-TRIG-RATIO-01,ready,
G10G-G-COSINE-LAW-01,G08-S-PYTH-01;G09-S-TRIG-RATIO-01,ready,
G10G-G-PROJECTION-01,,ready,
G10G-G-TRIG-MEASURE-01,,ready,
G10G-N-REC-01,G08-N-SEQ-MEAN-01;G08-N-ARITH-TERM-01,ready,
G10G-N-GEOSUM-01,G08-N-GEO-TERM-01;G08-N-ARITH-SUM-01,ready,
G10G-N-SUMFORM-01,,ready,
G10G-N-INDUCT-01,G09-S-PROOF-MEAN-01;G08-N-SEQ-PATTERN-01,ready,
G10G-N-EXP-EQ-APP-01,,ready,
G10G-N-LOGIC-PROP-01,G09-S-PROOF-MEAN-01,ready,
G10G-N-LOGIC-ANDOR-01,,ready,
G10G-N-LOGIC-IMPLY-01,,ready,
G10G-D-SET-01,G09-S-PROOF-MEAN-01;G07-D-CONTINGENCY-01,ready,
G10G-D-SETOP-01,,ready,
G10G-D-COUNT-ADD-01,G09-D-TREE-01;G09-D-CLASSICAL-01,ready,
G10G-D-COUNT-IE-01,,ready,
G10G-D-PERM-01,G09-D-COIN-DICE-01,ready,
G10G-D-COMB-01,,ready,
G10G-D-BINOM-01,,ready,
G10G-D-PROB-SPACE-01,G09-D-PROB-MEAN-01;G09-D-CLASSICAL-01,ready,
G10G-D-PROB-COMP-01,,ready,
G10G-D-EXPECT-01,,ready,
G10G-D-STD-01,G07-D-COMPARE-01;G09-D-IQR-01,ready,
G10G-D-PERCENTILE-01,G09-D-QUARTILE-01,ready,
G10G-D-SCATTER-01,G09-D-BOXPLOT-COMP-01,ready,
G10G-D-CORR-01,,ready,
G10G-D-STANDARDIZE-01,,ready,
G10G-D-BESTFIT-01,,ready,
