publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
翰林,十上,1,數與式,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
翰林,十上,2,指數、對數,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
翰林,十上,3,多項式函數,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
翰林,十上,4,直線與圓,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
翰林,十下,1,數列與級數,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
翰林,十下,2,數據分析,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
翰林,十下,3,排列組合與機率,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
翰林,十下,4,三角比,https://www.junyiacademy.org/topics/h10,publisher_structure_verified,school_year_pending
龍騰,十上,1,實數,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,2,式的運算,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,3,絕對值,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,4,指數,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,5,常用對數,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,6,直線方程式,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,7,圓方程式,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,8,直線與圓,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,9,多項式之除法原理,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,10,一次與二次函數,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,11,三次函數的圖形特徵,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十上,12,多項式不等式,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
龍騰,十下,1,數列與遞迴關係,https://www.junyiacademy.org/topics/l10,publisher_structure_verified,school_year_pending
