publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
翰林,十一A上,1,弧度量與三角函數,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A上,2,三角的和差角公式,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A上,3,三角函數圖形與疊合,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A上,4,指數與對數函數,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A上,5,平面向量,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A下,1,空間向量與空間幾何,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A下,2,矩陣與方程組,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A下,3,矩陣應用,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
翰林,十一A下,4,機率、條件機率與貝氏定理,https://www.junyiacademy.org/topics/h11a,publisher_structure_verified,school_year_pending
龍騰,十一A上,1,弧度量與三角函數,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A上,2,三角的和差角公式,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A上,3,三角函數圖形與疊合,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A上,4,指數與對數函數,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A上,5,平面向量,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A下,1,空間向量與空間幾何,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A下,2,矩陣與方程組,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A下,3,矩陣應用,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
龍騰,十一A下,4,機率、條件機率與貝氏定理,https://www.junyiacademy.org/topics/l11a,publisher_structure_verified,school_year_pending
泰宇,十一A上,1,弧度量與三角函數,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A上,2,三角的和差角公式,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A上,3,三角函數圖形與疊合,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A上,4,指數與對數函數,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A上,5,平面向量,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A下,1,空間向量與空間幾何,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A下,2,矩陣與方程組,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A下,3,矩陣應用,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
泰宇,十一A下,4,機率、條件機率與貝氏定理,https://www.junyiacademy.org/topics/t11a,publisher_structure_verified,school_year_pending
全華,十一A上,1,弧度量與三角函數,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A上,2,三角的和差角公式,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A上,3,三角函數圖形與疊合,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A上,4,指數與對數函數,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A上,5,平面向量,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A下,1,空間向量與空間幾何,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A下,2,矩陣與方程組,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A下,3,矩陣應用,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
全華,十一A下,4,機率、條件機率與貝氏定理,https://www.junyiacademy.org/topics/c11a,publisher_structure_verified,school_year_pending
