skill_id,prerequisites,graph_status,missing_refs
G11B-N-RAD-01,G10G-G-ANGLE-01;G10G-G-TRIG-01,ready,
G11B-N-ARCLEN-01,G11B-N-RAD-01,ready,
G11B-F-SINEGRAPH-01,G10G-G-TRIG-SPECIAL-01;G11B-N-RAD-01,ready,
G11B-F-PERIODMODEL-01,G11B-F-SINEGRAPH-01,ready,
G11B-F-EXPGROWTH-01,G10G-N-EXP-REAL-01;G10G-F-FNOT-01,ready,
G11B-F-LOGMODEL-01,G10G-N-LOG-01;G11B-F-EXPGROWTH-01,ready,
G11B-F-FINANCE-01,G11B-F-EXPGROWTH-01;G10G-N-GEOSUM-01,ready,
G11B-F-LN-01,G11B-F-LOGMODEL-01,ready,
G11B-G-VEC-01,G10G-F-SECTION-01;G10G-G-PROJECTION-01,ready,
G11B-G-DOT-01,G11B-G-VEC-01,ready,
G11B-G-PROJ-01,G11B-G-DOT-01,ready,
G11B-G-PROP-01,G10G-F-SECTION-01;G11B-G-VEC-01,ready,
G11B-G-SPACECOORD-01,G10G-G-POINTLINE-DIST-01,ready,
G11B-G-GLOBE-01,G11B-G-SPACECOORD-01,ready,
G11B-S-SPACE-01,G11B-G-SPACECOORD-01,ready,
G11B-S-NETDIST-01,G11B-S-SPACE-01;G10G-G-TRIG-MEASURE-01,ready,
G11B-S-GREATCIRCLE-01,,ready,
G11B-S-DIHEDRAL-01,,ready,
G11B-S-CONIC-01,G10G-G-CIRCLE-EQ-01;G10G-F-QUAD-TRANS-01,ready,
G11B-S-CONIC-APP-01,,ready,
G11B-A-MATDATA-01,G10G-D-SET-01,ready,
G11B-A-MATOPS-01,G11B-A-MATDATA-01,ready,
G11B-A-MATMUL-01,G11B-A-MATOPS-01,ready,
G11B-A-INVERSE2-01,G11B-A-MATMUL-01,ready,
G11B-A-SYSTEM-01,G11B-A-INVERSE2-01,ready,
G11B-D-SUBJOBJ-01,G10G-D-PROB-COMP-01,ready,
G11B-D-COND-01,G10G-D-PROB-COMP-01,ready,
G11B-D-BAYES-01,G11B-D-COND-01,ready,
G11B-D-INDEP-01,G11B-D-COND-01,ready,
G11B-D-TABLE-01,G11B-D-COND-01;G10G-D-SETOP-01,ready,
