publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
龍騰,十一B上,1,弧度量與週期模型,https://www.junyiacademy.org/topics/l11b,publisher_structure_verified,school_year_pending
龍騰,十一B上,2,指數與對數成長模型,https://www.junyiacademy.org/topics/l11b,publisher_structure_verified,school_year_pending
龍騰,十一B上,3,平面向量,https://www.junyiacademy.org/topics/l11b,publisher_structure_verified,school_year_pending
龍騰,十一B上,4,平面比例,https://www.junyiacademy.org/topics/l11b,publisher_structure_verified,school_year_pending
龍騰,十一B下,1,矩陣與資料表格,https://www.junyiacademy.org/topics/l11b,publisher_structure_verified,school_year_pending
龍騰,十一B下,2,空間概念與圓錐曲線,https://www.junyiacademy.org/topics/l11b,publisher_structure_verified,school_year_pending
龍騰,十一B下,3,主客觀機率與不確定性,https://www.junyiacademy.org/topics/l11b,publisher_structure_verified,school_year_pending
泰宇,十一B上,1,弧度量與週期模型,https://www.junyiacademy.org/topics/t11b,publisher_structure_verified,school_year_pending
泰宇,十一B上,2,指數與對數成長模型,https://www.junyiacademy.org/topics/t11b,publisher_structure_verified,school_year_pending
泰宇,十一B上,3,平面向量,https://www.junyiacademy.org/topics/t11b,publisher_structure_verified,school_year_pending
泰宇,十一B上,4,平面比例,https://www.junyiacademy.org/topics/t11b,publisher_structure_verified,school_year_pending
泰宇,十一B下,1,矩陣與資料表格,https://www.junyiacademy.org/topics/t11b,publisher_structure_verified,school_year_pending
泰宇,十一B下,2,空間概念與圓錐曲線,https://www.junyiacademy.org/topics/t11b,publisher_structure_verified,school_year_pending
泰宇,十一B下,3,主客觀機率與不確定性,https://www.junyiacademy.org/topics/t11b,publisher_structure_verified,school_year_pending
全華,十一B上,1,弧度量與週期模型,https://www.junyiacademy.org/topics/c11b,publisher_structure_verified,school_year_pending
全華,十一B上,2,指數與對數成長模型,https://www.junyiacademy.org/topics/c11b,publisher_structure_verified,school_year_pending
全華,十一B上,3,平面向量,https://www.junyiacademy.org/topics/c11b,publisher_structure_verified,school_year_pending
全華,十一B上,4,平面比例,https://www.junyiacademy.org/topics/c11b,publisher_structure_verified,school_year_pending
全華,十一B下,1,矩陣與資料表格,https://www.junyiacademy.org/topics/c11b,publisher_structure_verified,school_year_pending
全華,十一B下,2,空間概念與圓錐曲線,https://www.junyiacademy.org/topics/c11b,publisher_structure_verified,school_year_pending
全華,十一B下,3,主客觀機率與不確定性,https://www.junyiacademy.org/topics/c11b,publisher_structure_verified,school_year_pending
