publisher,semester,unit_no,unit_title,source_url,structure_status,school_year_status
康軒,四上,1,一億以內的數,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,2,整數的乘法,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,3,角度,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,4,整數的除法,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,5,公里,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,6,三角形,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,7,小數,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,8,整數四則計算,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,9,分數,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四上,10,統計圖,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,1,多位數的乘與除,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,2,四邊形,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,3,概數,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,4,數量規律,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,5,小數乘法,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,6,周長與面積,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,7,等值分數,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,8,簡化計算,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,9,時間的計算,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
康軒,四下,10,立方公分,https://www.junyiacademy.org/topics/k-m4a,publisher_structure_verified,school_year_pending
翰林,四上,1,一億以內的數,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,2,乘法,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,3,角度,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,4,假分數與帶分數,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,5,公里,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,6,除法,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,7,三角形與全等,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,8,兩步驟問題與併式,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,9,二位小數,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四上,10,統計圖表,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,1,概數,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,2,四則運算,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,3,垂直、平行與四邊形,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,4,分數（一）,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,5,形體的大小,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,6,小數乘法,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,7,周長與面積,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,8,分數（二）,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,9,時間的計算,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
翰林,四下,10,規律,https://www.junyiacademy.org/topics/h-m4a,publisher_structure_verified,school_year_pending
南一,四上,1,一億以內的數,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,2,乘法,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,3,角度,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,4,除法,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,5,三角形,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,6,分數,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,7,數量關係,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,8,整數四則,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四上,9,小數,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,1,統計圖,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,2,公里,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,3,概數,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,4,四邊形,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,5,小數乘法,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,6,周長與面積,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,7,等值分數,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,8,簡化計算,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,9,時間的計算,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
南一,四下,10,立方公分,https://www.junyiacademy.org/topics/n-m4a,publisher_structure_verified,school_year_pending
