skill_id,prerequisite,next_skill,graph_status
G05-N-DEC-PLACE-01,G04-N-PLACE-01,G05-N-DEC-PLACE-02,ready
G05-N-DEC-PLACE-02,G05-N-DEC-PLACE-01,G05-N-DEC-CMP-01,ready
G05-N-DEC-CMP-01,G05-N-DEC-PLACE-02,G05-N-DEC-ROUND-01,ready
G05-N-DEC-ROUND-01,G05-N-DEC-CMP-01,G06-N-DEC-DIV-03,ready
G05-N-FACTOR-01,G04-N-MULDIV-APP-01,G05-N-GCF-01,ready
G05-N-GCF-01,G05-N-FACTOR-01,G06-N-PRIME-01,ready
G05-N-MULTIPLE-01,G04-N-MULDIV-APP-01,G05-N-LCM-01,ready
G05-N-LCM-01,G05-N-MULTIPLE-01,G06-N-PRIME-01,ready
G05-N-FRAC-EQV-01,G04-N-FRAC-EQV-01,G05-N-FRAC-COMMON-01,ready
G05-N-FRAC-COMMON-01,G05-N-FRAC-EQV-01,G05-N-FRAC-ADD-01,ready
G05-N-FRAC-ADD-01,G05-N-FRAC-COMMON-01,G05-N-FRAC-SUB-01,ready
G05-N-FRAC-SUB-01,G05-N-FRAC-ADD-01,G05-N-FRAC-MUL-01,ready
G05-N-FRAC-DIVREP-01,G04-N-DIV4X2-01,G05-N-FRAC-DIVINT-01,ready
G05-N-FRAC-MUL-01,G05-N-FRAC-COMMON-01,G05-N-FRAC-MUL-02,ready
G05-N-FRAC-MUL-02,G05-N-FRAC-MUL-01,G06-N-FRAC-DIV-01,ready
G05-N-FRAC-DIVINT-01,G05-N-FRAC-DIVREP-01,G06-N-FRAC-DIV-01,ready
G05-N-DEC-MUL-01,G04-N-DEC2-01,G05-N-DEC-MUL-02,ready
G05-N-DEC-MUL-02,G05-N-DEC-MUL-01,G06-N-DEC-DIV-01,ready
G05-N-DEC-DIV-01,G04-N-DIV4X2-01,G05-N-DEC-DIV-02,ready
G05-N-DEC-DIV-02,G05-N-DEC-DIV-01,G06-N-DEC-DIV-01,ready
G05-N-RATE-01,G05-N-FRAC-DIVREP-01,G05-N-PERCENT-01,ready
G05-N-PERCENT-01,G05-N-RATE-01,G06-N-RATIO-01,ready
G05-N-TIME-01,G04-N-TIMEAPP-01,G05-N-TIME-02,ready
G05-N-TIME-02,G05-N-TIME-01,G06-N-SPEED-01,ready
G05-S-POLY-01,G04-S-TRI-CLASS-01,G05-S-ANGLE-01,ready
G05-S-ANGLE-01,G05-S-POLY-01,G06-S-ARC-01,ready
G05-S-SECTOR-01,G05-S-ANGLE-01,G06-S-ARC-01,ready
G05-S-SYM-01,G04-S-CONGRUENT-MAP-01,G07-S-SYM-PROP-01,ready
G05-S-AREA-PARA-01,G04-S-RECTAREA-01,G05-S-AREA-TRI-01,ready
G05-S-AREA-TRI-01,G05-S-AREA-PARA-01,G05-S-AREA-TRAP-01,ready
G05-S-AREA-TRAP-01,G05-S-AREA-TRI-01,G06-S-ARC-01,ready
G05-N-AREAUNIT-01,G05-S-AREA-TRAP-01,G06-S-MAPSCALE-01,ready
G05-N-MASSUNIT-01,G03-N-KG-CONV-01,G06-N-RATIO-02,ready
G05-S-SOLID-01,G04-N-CM3-COUNT-01,G05-S-FACE-01,ready
G05-S-FACE-01,G05-S-SOLID-01,G06-S-PRISM-VOL-01,ready
G05-S-VOLUME-01,G04-N-CM3-COUNT-01,G05-N-VOLUNIT-01,ready
G05-N-VOLUNIT-01,G05-S-VOLUME-01,G05-N-CAPACITY-01,ready
G05-S-SURFACE-01,G05-S-SOLID-01,G06-S-PRISM-VOL-01,ready
G05-N-CAPACITY-01,G05-N-VOLUNIT-01,G06-S-PRISM-VOL-01,ready
G05-N-DISPLACE-01,G05-N-CAPACITY-01,G06-S-PRISM-VOL-01,ready
G05-R-MULTISTEP-01,G04-R-BRACKET-01,G05-R-LAW-01,ready
G05-R-LAW-01,G05-R-MULTISTEP-01,G07-A-SYMBOL-01,ready
G05-R-SYMBOL-01,G05-R-LAW-01,G07-A-LINEQ-MEAN-01,ready
G05-D-LINE-01,G04-D-BAR-01,G05-D-LINE-02,ready
G05-D-LINE-02,G05-D-LINE-01,G06-D-PIE-01,ready
