publisher,semester,unit_no,unit_title,source_url
康軒,五上,1,小數的加減,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,2,因數與公因數,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,3,倍數與公倍數,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,4,擴分、約分和通分,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,5,多邊形與扇形,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,6,異分母分數的加減,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,7,線對稱圖形,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,8,整數四則運算,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,9,面積,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五上,10,柱體、錐體和球,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,1,體積,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,2,分數的計算,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,3,容積,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,4,小數的乘法,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,5,大數與折線圖,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,6,整數、小數除以整數,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,7,表面積,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,8,比率與百分率,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,9,時間的乘除,https://www.junyiacademy.org/topics/tainan-di-k-m5
康軒,五下,10,生活中的大單位,https://www.junyiacademy.org/topics/tainan-di-k-m5
翰林,五上,1,折線圖,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,2,倍數與因數,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,3,平面圖形,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,4,公倍數與公因數,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,5,立體形體,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,6,四則運算,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,7,擴、約分與加減,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,8,面積,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,9,乘以幾分之一,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五上,10,扇形,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,1,數的十進位結構,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,2,分數的計算,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,3,長方體與正方體的體積,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,4,小數,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,5,生活中的大單位,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,6,時間的乘除,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,7,容積,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,8,比率與百分率,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,9,表面積,https://www.junyiacademy.org/topics/tainan-di-h-m5
翰林,五下,10,線對稱圖形,https://www.junyiacademy.org/topics/tainan-di-h-m5
南一,五上,1,折線圖,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,2,因數和倍數,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,3,多邊形,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,4,擴分、約分和通分,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,5,線對稱圖形,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,6,異分母分數的加減,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,7,整數四則計算,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,8,平行四邊形、三角形和梯形的面積,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,9,時間的乘除,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五上,10,正方體和長方體,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,1,分數的計算,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,2,數的十進位結構,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,3,小數的乘法,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,4,扇形,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,5,體積,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,6,整數、小數除以整數,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,7,生活中的大單位,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,8,比率和百分率,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,9,容積和容量,https://www.junyiacademy.org/topics/tainan-di-n-m5
南一,五下,10,柱體、錐體和球體,https://www.junyiacademy.org/topics/tainan-di-n-m5
