publisher,semester,unit_no,unit_title,sub_no,subunit_title,source_url
康軒,六上,1,最大公因數與最小公倍數,1-1,質數和合數,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,1,最大公因數與最小公倍數,1-2,質因數和質因數分解,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,1,最大公因數與最小公倍數,1-3,最大公因數,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,2,分數除法,2-1,最簡分數,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,2,分數除法,2-2,同分母分數的除法,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,2,分數除法,2-3,異分母分數的除法,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,3,數量關係,3-1,圖形和數形的規律,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,3,數量關係,3-2,和差積商不變,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,3,數量關係,3-3,間隔問題,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,4,小數除法,4-1,整數÷小數,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,4,小數除法,4-2,小數÷小數,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,4,小數除法,4-3,小數除法的應用,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,5,比、比值與成正比,5-1,比與比值,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,5,比、比值與成正比,5-2,相等的比,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,5,比、比值與成正比,5-3,比的應用,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,6,圓周率與圓周長,6-1,認識圓周率,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,6,圓周率與圓周長,6-2,圓周長,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,6,圓周率與圓周長,6-3,扇形周長,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,7,圓面積與扇形面積,7-1,圓面積,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,7,圓面積與扇形面積,7-2,扇形面積,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,8,認識速率,8-1,速率,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,8,認識速率,8-2,距離、時間和速率的關係,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,8,認識速率,8-3,速率單位的換算,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,9,縮圖、放大圖與比例尺,9-1,放大圖和縮圖,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,9,縮圖、放大圖與比例尺,9-2,繪製放大圖和縮圖,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六上,9,縮圖、放大圖與比例尺,9-3,比例尺,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,1,小數與分數的計算,1-1,小數四則計算,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,1,小數與分數的計算,1-2,分數四則計算,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,1,小數與分數的計算,1-3,小數與分數的混合計算,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,2,速率的應用,2-1,平均速率問題,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,2,速率的應用,2-2,相離和相遇問題,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,2,速率的應用,2-3,追趕問題,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,3,柱體體積與表面積,3-1,柱體的體積,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,3,柱體體積與表面積,3-2,複合形體的體積,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,3,柱體體積與表面積,3-3,柱體的表面積,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,4,基準量與比較量,4-1,基準量與比較量,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,4,基準量與比較量,4-2,基準量與比較量的應用(兩量之和),https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,4,基準量與比較量,4-3,基準量與比較量的應用(兩量之差),https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,5,怎樣解題,5-1,和差問題,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,5,怎樣解題,5-2,年齡問題,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,5,怎樣解題,5-3,雞兔問題,https://www.junyiacademy.org/topics/tainan-di-k-m6
康軒,六下,6,圓形圖,6-1,圓形百分圖,https://www.junyiacademy.org/topics/tainan-di-k-m6
