skill_id,prerequisites,graph_status,missing_refs
G08-A-MULFORM-01,G07-A-COMBINE-01;G07-N-LAWS-01,ready,
G08-A-MULFORM-02,G08-A-MULFORM-01,ready,
G08-A-MULFORM-03,G07-N-LAWS-01;G08-A-MULFORM-01,ready,
G08-A-MULFORM-04,G07-A-COMBINE-01;G07-N-LAWS-01,ready,
G08-A-MULFORM-APP-01,,ready,
G08-A-POLY-TERM-01,G07-A-EXPR-READ-01;G07-A-LIKE-01,ready,
G08-A-POLY-DEG-01,G08-A-POLY-TERM-01;G07-N-POWER-01,ready,
G08-A-POLY-ORDER-01,,ready,
G08-A-POLY-ADD-01,G07-A-COMBINE-01;G08-A-POLY-TERM-01,ready,
G08-A-POLY-SUB-01,G08-A-POLY-ADD-01;G07-N-NEG-BRACKET-01,ready,
G08-A-POLY-MUL-MONO-01,G07-N-LAWS-01;G08-A-POLY-TERM-01,ready,
G08-A-POLY-MUL-01,G08-A-POLY-MUL-MONO-01;G08-A-MULFORM-04,ready,
G08-A-POLY-DIV-01,G08-A-POLY-MUL-01;G07-A-SOLVE-01,ready,
G08-A-POLY-ID-01,,ready,
G08-N-SQRT-MEAN-01,G07-N-POWER-01;G07-N-NUMBERLINE-01,ready,
G08-N-SQRT-PERFECT-01,G08-N-SQRT-MEAN-01,ready,
G08-N-RAD-SIMPLIFY-01,G08-N-SQRT-PERFECT-01;G07-N-FACT-STD-01,ready,
G08-N-RAD-MUL-01,G08-N-RAD-SIMPLIFY-01,ready,
G08-N-RAD-DIV-01,G08-N-RAD-SIMPLIFY-01;G07-N-DIVINT-01,ready,
G08-N-RAD-ADD-01,G08-N-RAD-SIMPLIFY-01;G07-A-LIKE-01,ready,
G08-N-RAD-MIX-01,,ready,
G08-N-SQRT-INTPART-01,G08-N-SQRT-PERFECT-01,ready,
G08-N-SQRT-APPROX-01,G08-N-SQRT-INTPART-01,ready,
G08-S-PYTH-01,G07-S-NOTATION-01;G08-N-SQRT-MEAN-01,ready,
G08-S-PYTH-INV-01,G08-S-PYTH-01,ready,
G08-S-PYTH-LEN-01,G08-S-PYTH-01;G08-N-RAD-SIMPLIFY-01,ready,
G08-S-PYTH-APP-01,G08-S-PYTH-LEN-01,ready,
G08-G-DIST-01,G07-G-DIST-01;G08-S-PYTH-01,ready,
G08-G-DIST-APP-01,G08-G-DIST-01,ready,
G08-A-FACTOR-MEAN-01,G08-A-POLY-MUL-01,ready,
G08-A-FACTOR-GCF-01,G08-A-FACTOR-MEAN-01;G07-N-FACT-STD-01,ready,
G08-A-FACTOR-GROUP-01,G08-A-FACTOR-GCF-01;G08-A-POLY-ADD-01,ready,
G08-A-FACTOR-SQ1-01,G08-A-MULFORM-01;G08-A-MULFORM-02;G08-A-FACTOR-MEAN-01,ready,
