publisher,semester,unit_no,unit_title,sub_no,subunit_title,source_url,structure_status,school_year_status
康軒,八上,1,乘法公式與多項式,1-1,乘法公式,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,1,乘法公式與多項式,1-2,多項式與其加減運算,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,1,乘法公式與多項式,1-3,多項式的乘除運算,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,2,平方根與畢氏定理,2-1,平方根與近似值,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,2,平方根與畢氏定理,2-2,根式的運算,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,2,平方根與畢氏定理,2-3,畢氏定理,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,3,因式分解,3-1,利用提公因式與乘法公式做因式分解,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,3,因式分解,3-2,利用十字交乘法做因式分解,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,4,一元二次方程式,4-1,因式分解解一元二次方程式,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,4,一元二次方程式,4-2,配方法與公式解,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,4,一元二次方程式,4-3,應用問題,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八上,5,統計資料處理,5-1,資料整理與統計圖表,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,1,數列與級數,1-1,等差數列,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
康軒,八下,1,數列與級數,1-2,等差級數,https://www.junyiacademy.org/topics/k-m8a,publisher_structure_verified,113_verified
