skill_id,prerequisites,graph_status,missing_refs
G10TA-NUM-01,G09-N-CONT-RATIO-01,ready,
G10TA-ABS-01,G07-N-ABS-01,ready,
G10TA-ABS-INEQ-01,G07-N-ABS-01;G10TA-ABS-01,ready,
G10TA-COORD-01,G07-G-PLOT-01,ready,
G10TA-FUNC-01,G08-F-FUNC-MEAN-01,ready,
G10TA-LINEAR-01,,ready,
G10TA-QUAD-01,G09-F-QUAD-MEAN-01,ready,
G10TA-COMPLETE-01,,ready,
G10TA-QUAD-EXTREME-01,G09-F-QUAD-MEAN-01;G10TA-QUAD-01;G10TA-COMPLETE-01,ready,
G10TA-SLOPE-01,G08-F-GRAPH-READ-01,ready,
G10TA-LINE-01,,ready,
G10TA-PARPERP-01,G10TA-SLOPE-01,ready,
G10TA-POLY-01,G08-A-POLY-ADD-01,ready,
G10TA-REM-01,G08-A-POLY-DIV-01,ready,
G10TA-FACTORTHM-01,G08-A-FACTOR-CHOICE-01;G10TA-REM-01,ready,
G10TA-SYNTH-01,G10TA-REM-01,ready,
G10TA-FACTOR-01,G08-A-FACTOR-CHOICE-01,ready,
G10TA-ANGLE-01,G09-S-TRIG-RATIO-01,ready,
G10TA-RATIO-01,,ready,
G10TA-TRIG-ACUTE-01,G09-S-TRIG-RATIO-01,ready,
G10TA-TRIG-ANY-01,G09-S-TRIG-RATIO-01,ready,
G10TA-TRIG-CALC-01,G09-S-TRIG-RATIO-01,ready,
G10TA-SIN-PERIOD-01,,ready,
G10TA-COS-PERIOD-01,,ready,
G10TA-MEASURE-01,,ready,
G10TA-CIRCLE-01,G09-S-LINECIRCLE-01,ready,
G10TA-CIRCLE-GEN-01,G09-S-LINECIRCLE-01;G10TA-CIRCLE-01,ready,
G10TA-LINECIRCLE-01,G09-S-LINECIRCLE-01;G10TA-CIRCLE-01,ready,
G10TA-TANGENT-ATPOINT-01,G10TA-CIRCLE-01,ready,
G10TA-ARITH-01,G08-N-ARITH-TERM-01,ready,
G10TA-ARITHSUM-01,G08-N-ARITH-TERM-01;G10TA-ARITH-01,ready,
G10TA-GEO-01,G08-N-GEO-TERM-01,ready,
G10TA-GEOSUM-01,G08-N-GEO-TERM-01;G10TA-GEO-01,ready,
G10TA-REC-01,,ready,
