skill_id,prerequisites,graph_status,missing_refs
G10TB-NUM-01,G09-N-CONT-RATIO-01,ready,
G10TB-ABS-01,G07-N-ABS-01,ready,
G10TB-ABS-INEQ-01,G07-N-ABS-01;G10TB-ABS-01,ready,
G10TB-COORD-01,G07-G-PLOT-01,ready,
G10TB-FUNC-01,G08-F-FUNC-MEAN-01,ready,
G10TB-LINEAR-01,,ready,
G10TB-QUAD-01,G09-F-QUAD-MEAN-01,ready,
G10TB-COMPLETE-01,,ready,
G10TB-QUAD-EXTREME-01,G09-F-QUAD-MEAN-01;G10TB-QUAD-01;G10TB-COMPLETE-01,ready,
G10TB-SLOPE-01,G08-F-GRAPH-READ-01,ready,
G10TB-LINE-01,,ready,
G10TB-PARPERP-01,G10TB-SLOPE-01,ready,
G10TB-QUADINEQ-01,G09-F-QUAD-MEAN-01;G10TB-COMPLETE-01;G10TB-FACTOR-01,ready,
G10TB-POLY-01,G08-A-POLY-ADD-01,ready,
G10TB-FACTOR-01,G08-A-FACTOR-CHOICE-01,ready,
G10TB-DIV-01,,ready,
G10TB-REM-01,G08-A-POLY-DIV-01,ready,
G10TB-RATIONAL-01,,ready,
G10TB-ANGLE-01,G09-S-TRIG-RATIO-01,ready,
G10TB-RATIO-01,,ready,
G10TB-TRIG-ACUTE-01,G09-S-TRIG-RATIO-01,ready,
G10TB-TRIG-ANY-01,G09-S-TRIG-RATIO-01,ready,
G10TB-TRIG-CALC-01,G09-S-TRIG-RATIO-01,ready,
G10TB-SIN-PERIOD-01,,ready,
G10TB-COS-PERIOD-01,,ready,
G10TB-SINE-LAW-01,G10TB-TRIG-ACUTE-01,ready,
G10TB-COSINE-LAW-01,G10TB-TRIG-ACUTE-01,ready,
G10TB-TRI-MEASURE-01,,ready,
G10TB-VEC-DRAW-01,G07-G-DIST-01,ready,
G10TB-VEC-COORD-01,G07-G-PLOT-01,ready,
G10TB-VEC-LEN-01,G07-G-DIST-01,ready,
G10TB-DOT-01,G10TB-VEC-COORD-01,ready,
G10TB-DOT-ANGLE-01,G09-S-TRIG-RATIO-01;G10TB-VEC-COORD-01,ready,
G10TB-CIRCLE-01,G09-S-LINECIRCLE-01,ready,
G10TB-CIRCLE-GEN-01,G09-S-LINECIRCLE-01;G10TB-CIRCLE-01,ready,
G10TB-LINECIRCLE-01,G09-S-LINECIRCLE-01;G10TB-CIRCLE-01,ready,
G10TB-TANGENT-ATPOINT-01,G10TB-CIRCLE-01,ready,
G10TB-ARITH-01,G08-N-ARITH-TERM-01,ready,
G10TB-ARITHSUM-01,G08-N-ARITH-TERM-01;G10TB-ARITH-01,ready,
G10TB-GEO-01,G08-N-GEO-TERM-01,ready,
G10TB-GEOSUM-01,G08-N-GEO-TERM-01;G10TB-GEO-01,ready,
G10TB-REC-01,,ready,
