skill_id,prerequisites,graph_status,missing_refs
G10TC-REAL-01,,ready,
G10TC-IRR-01,G10TC-REAL-01,ready,
G10TC-AMGM-01,G10TC-REAL-01,ready,
G10TC-ABS-01,G07-N-ABS-01,ready,
G10TC-COORD-01,G07-G-PLOT-01,ready,
G10TC-FUNC-01,G08-F-FUNC-MEAN-01,ready,
G10TC-QUAD-01,G09-F-QUAD-MEAN-01;G10TC-FUNC-01,ready,
G10TC-QUADINEQ-01,G09-F-QUAD-MEAN-01;G10TC-QUAD-01,ready,
G10TC-RATINEQ-01,G10TC-QUADINEQ-01,ready,
G10TC-DIRANGLE-01,G09-S-TRIG-RATIO-01,ready,
G10TC-TRIG6-01,G09-S-TRIG-RATIO-01,ready,
G10TC-TRIG-BASICREL-01,G09-S-TRIG-RATIO-01;G10TC-TRIG6-01,ready,
G10TC-TRIG-ANY-01,G09-S-TRIG-RATIO-01;G10TC-TRIG6-01,ready,
G10TC-TRIG-GRAPH-01,G09-S-TRIG-RATIO-01;G10TC-TRIG-ANY-01,ready,
G10TC-SINE-LAW-01,G10TC-TRIG6-01,ready,
G10TC-COSINE-LAW-01,G10TC-TRIG6-01,ready,
G10TC-TRIAREA-01,,ready,
G10TC-TRIG-CALC-01,G09-S-TRIG-RATIO-01,ready,
G10TC-VEC-01,G07-G-DIST-01,ready,
G10TC-VEC-COORD-01,G07-G-PLOT-01,ready,
G10TC-DOT-01,G10TC-VEC-01,ready,
G10TC-DET2-01,G10TC-DOT-01,ready,
G10TC-CAUCHY-01,G10TC-DOT-01,ready,
G10TC-PROJ-01,G10TC-DOT-01,ready,
G10TC-POLY-OPS-01,G08-A-POLY-ADD-01,ready,
G10TC-REM-01,G08-A-POLY-DIV-01;G10TC-POLY-OPS-01,ready,
G10TC-POLYEQ-01,G08-A-POLY-ADD-01;G10TC-REM-01,ready,
G10TC-COMPLEX-01,G10TC-POLYEQ-01,ready,
G10TC-ROOTCOEF-01,G10TC-POLYEQ-01,ready,
G10TC-RATIONAL-01,G10TC-POLY-OPS-01,ready,
G10TC-RADICAL-01,,ready,
G10TC-LINE-01,,ready,
G10TC-LINE-DIST-01,,ready,
G10TC-CIRCLE-01,G09-S-LINECIRCLE-01;G10TC-LINE-01,ready,
G10TC-LINECIRCLE-01,G09-S-LINECIRCLE-01;G10TC-CIRCLE-01,ready,
G10TC-TANGENT-01,G10TC-LINECIRCLE-01,ready,
G10TC-ARITH-01,G08-N-ARITH-TERM-01,ready,
G10TC-GEO-01,G08-N-GEO-TERM-01,ready,
G10TC-SUM-01,,ready,
G10TC-COUNT-01,G09-D-TREE-01,ready,
G10TC-PERM-01,,ready,
G10TC-COMB-01,G10TC-COUNT-01,ready,
